Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/6/2024 10:42:54 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	822
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	27.1
System Temp (C):	26.9
Spectrometer Temp (C):	24.3
CCD Temp (C):	0.002
Secondary Temp (C):	20.011
Heatsink Temp (C):	22.72
CCDPCB Temp (C):	36.451
SecondaryPCB Temp (C):	33.728

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	1127.65	715
787.2016	32.3739	1163.7	752.65
787.3422	34.6426	1208.95	797.1
787.4828	36.9109	1258.95	843.9
787.6235	39.1787	1315.45	899.35
787.7642	41.4461	1376.8	955.1
787.9049	43.7131	1443.4	1017.35
788.0456	45.9796	1504.5	1076.6
788.1863	48.2456	1571.55	1137.15
788.3271	50.5112	1641.05	1201.8
788.4679	52.7764	1713.5	1273.4
788.6087	55.0411	1791.85	1348.3
788.7496	57.3054	1883.9	1437.5
788.8904	59.5692	1962.75	1510
789.0313	61.8326	2066.35	1612.25
789.1722	64.0955	2179.1	1721.35
789.3132	66.3579	2314.35	1852.15
789.4541	68.6199	2459.75	1993.9
789.5951	70.8815	2716.4	2247.3
789.7361	73.1426	3220.55	2746.25
789.8771	75.4032	4551.95	4071.9
790.0181	77.6634	7959.75	7475.1
790.1592	79.9231	16779	16290.05
790.3003	82.1824	54969.6	54469.8
790.4414	84.4412	65535	65017.85
790.5825	86.6995	65535	64990.9
790.7237	88.9574	65535	64967.7
790.8648	91.2148	65535	64950
791.006	93.4717	65535	64934.75
791.1472	95.7282	65535	64929.4
791.2885	97.9842	65535	64928.05
791.4297	100.2398	65535	64923.85
791.571	102.4949	65535	64922.4
791.7123	104.7495	65535	64913.25
791.8536	107.0036	65535	64915.9
791.9949	109.2573	65535	64916.45
792.1363	111.5105	65535	64915.05
792.2777	113.7632	65535	64912.6
792.4191	116.0154	65535	64903.15
792.5605	118.2672	65535	64908.4
792.7019	120.5185	65535	64911.2
792.8434	122.7693	65535	64906.35
792.9849	125.0197	65535	64899.75
793.1264	127.2696	65535	64899.4
793.2679	129.519	65535	64893.3
793.4094	131.7679	65535	64893.9
793.551	134.0163	65535	64887.75
793.6926	136.2642	65535	64887.35
793.8342	138.5117	65535	64876.75
793.9758	140.7587	65535	64882.15
794.1175	143.0052	65535	64879.9
794.2591	145.2512	65535	64880.2
794.4008	147.4967	65535	64876.1
794.5425	149.7417	65535	64874
794.6842	151.9863	65535	64871.3
794.826	154.2304	65535	64869.6
794.9677	156.4739	65535	64863.85
795.1095	158.717	65535	64864.3
795.2513	160.9596	65535	64857.95
795.3931	163.2017	65535	64859.7
795.535	165.4433	65535	64857.15
795.6768	167.6844	65535	64853.6
795.8187	169.925	65535	64852.2
795.9606	172.1651	65535	64845.65
796.1025	174.4047	65535	64843.3
796.2445	176.6439	65535	64842.1
796.3864	178.8825	65535	64838.95
796.5284	181.1206	65535	64835.4
796.6704	183.3582	65535	64829.95
796.8124	185.5954	65535	64829.95
796.9544	187.832	65535	64825.5
797.0965	190.0681	65535	64823.85
797.2386	192.3037	65535	64821.3
797.3806	194.5388	65535	64819.65
797.5228	196.7734	65535	64814.35
797.6649	199.0075	65535	64811.75
797.807	201.2411	65535	64810.55
797.9492	203.4742	65535	64815.8
798.0914	205.7068	65535	64810
798.2336	207.9389	65535	64803.95
798.3758	210.1704	65535	64803.25
798.518	212.4015	65535	64805.15
798.6603	214.632	65535	64811.6
798.8025	216.862	65535	64822.65
798.9448	219.0915	65535	64823.45
799.0871	221.3205	65535	64821.7
799.2294	223.549	65535	64825.75
799.3718	225.777	65535	64826.05
799.5141	228.0044	65535	64823.35
799.6565	230.2314	65535	64825.1
799.7989	232.4578	65535	64819.85
799.9413	234.6837	65535	64812.1
800.0837	236.909	65535	64808.2
800.2262	239.1339	65535	64785.2
800.3687	241.3582	65535	64798.65
800.5111	243.582	65535	64766.25
800.6536	245.8053	65535	64780.25
800.7961	248.0281	65535	64788.9
800.9387	250.2503	65535	64779.8
801.0812	252.472	65535	64775.6
801.2238	254.6932	65535	64776.05
801.3664	256.9139	65535	64777.8
801.509	259.134	65535	64772.65
801.6516	261.3536	65535	64776.6
801.7942	263.5727	65535	64771.1
801.9369	265.7912	65535	64774.95
802.0795	268.0092	65535	64769.55
802.2222	270.2267	65535	64767.9
802.3649	272.4436	65535	64770.35
802.5076	274.6601	65535	64761.8
802.6504	276.8759	65535	64769
802.7931	279.0913	65535	64764.5
802.9359	281.3061	65535	64764.5
803.0787	283.5204	65535	64758.4
803.2215	285.7341	65535	64757.4
803.3643	287.9473	65535	64742.35
803.5071	290.16	65535	64751.55
803.6499	292.3721	65535	64757.95
803.7928	294.5837	65535	64756.15
803.9357	296.7947	65535	64760.5
804.0786	299.0052	65535	64757.15
804.2215	301.2152	65535	64757.95
804.3644	303.4246	65535	64758
804.5074	305.6334	65535	64757.65
804.6503	307.8418	65535	64751.05
804.7933	310.0495	65535	64752.6
804.9363	312.2568	65535	64754.25
805.0793	314.4635	65535	64757.25
805.2223	316.6696	65535	64752.2
805.3653	318.8752	65535	64739.6
805.5084	321.0802	65535	64746.85
805.6514	323.2847	65535	64747.75
805.7945	325.4887	65535	64745.7
805.9376	327.692	65535	64742.05
806.0807	329.8949	65535	64740.25
806.2238	332.0972	65535	64740.75
806.367	334.2989	65535	64736.2
806.5101	336.5001	65535	64736.8
806.6533	338.7007	65535	64736
806.7965	340.9008	65535	64732.5
806.9397	343.1003	65535	64736.5
807.0829	345.2992	65535	64734.05
807.2261	347.4976	65535	64732.7
807.3693	349.6955	65535	64726.35
807.5126	351.8927	65535	64726.65
807.6559	354.0895	65535	64715.7
807.7991	356.2856	65535	64726.45
807.9424	358.4812	65535	64724.7
808.0857	360.6763	65535	64726.2
808.2291	362.8707	65535	64723.7
808.3724	365.0646	65535	64718.1
808.5158	367.258	65535	64719.65
808.6591	369.4508	65535	64716.65
808.8025	371.643	65535	64712.85
808.9459	373.8346	65535	64713.3
809.0893	376.0257	65535	64708.7
809.2327	378.2162	65535	64709.65
809.3762	380.4062	65535	64707.85
809.5196	382.5956	65535	64707.35
809.6631	384.7844	65535	64710.55
809.8066	386.9726	65535	64711.55
809.9501	389.1603	65535	64716.25
810.0936	391.3474	65535	64674.85
810.2371	393.5339	65535	64712.4
810.3806	395.7199	65535	64717.3
810.5241	397.9052	65535	64720
810.6677	400.09	65535	64720.4
810.8113	402.2743	65535	64717.9
810.9548	404.4579	65535	64717.05
811.0984	406.641	65535	64715.1
811.2421	408.8235	65535	64717.45
811.3857	411.0054	65535	64715.45
811.5293	413.1868	65535	64712.95
811.673	415.3675	65535	64708.15
811.8166	417.5477	65535	64709.6
811.9603	419.7273	65535	64706.65
812.104	421.9064	65535	64697
812.2477	424.0848	65535	64698.55
812.3914	426.2627	65535	64698.8
812.5351	428.4399	65535	64701.65
812.6788	430.6166	65535	64697.05
812.8226	432.7928	65535	64691.5
812.9663	434.9683	65535	64695.95
813.1101	437.1432	65535	64691.85
813.2539	439.3176	65535	64694.9
813.3977	441.4914	65535	64691.85
813.5415	443.6645	65535	64688.75
813.6853	445.8371	65535	64692.9
813.8291	448.0091	65535	64692.9
813.973	450.1806	65535	64694.7
814.1168	452.3514	65535	64694.5
814.2607	454.5216	65535	64683.5
814.4046	456.6913	65535	64690
814.5485	458.8603	65535	64689.75
814.6924	461.0288	65535	64690.05
814.8363	463.1967	65535	64689.1
814.9802	465.3639	65535	64689.4
815.1241	467.5306	65535	64685.35
815.2681	469.6967	65535	64689.7
815.412	471.8622	65535	64689.15
815.556	474.0271	65535	64689.25
815.7	476.1914	65535	64685.95
815.844	478.3551	65535	64686.1
815.988	480.5182	65535	64688.75
816.132	482.6807	65535	64685.85
816.276	484.8426	65535	64685
816.4201	487.0039	65535	64688.45
816.5641	489.1647	65535	64681.2
816.7082	491.3248	65535	64683.55
816.8522	493.4843	65535	64683.3
816.9963	495.6432	65535	64681.55
817.1404	497.8015	65535	64680.55
817.2845	499.9592	65535	64681.85
817.4286	502.1163	65535	64681.3
817.5727	504.2728	65535	64680.05
817.7168	506.4287	65535	64681.85
817.861	508.5839	65535	64682.75
818.0051	510.7386	65535	64680.55
818.1493	512.8927	65535	64678.35
818.2935	515.0461	65535	64676.75
818.4377	517.199	65535	64678.9
818.5818	519.3512	65535	64678.55
818.726	521.5029	65535	64672.55
818.8703	523.6539	65535	64676.85
819.0145	525.8043	65535	64674.45
819.1587	527.9541	65535	64671.65
819.303	530.1033	65535	64673.05
819.4472	532.2519	65535	64671.45
819.5915	534.3999	65535	64672.3
819.7357	536.5472	65535	64674.4
819.88	538.694	65535	64675.15
820.0243	540.8401	65535	64670.65
820.1686	542.9856	65535	64667.7
820.3129	545.1305	65535	64665.75
820.4572	547.2748	65535	64666.8
820.6016	549.4185	65535	64665.5
820.7459	551.5615	65535	64664.8
820.8902	553.704	65535	64664.45
821.0346	555.8458	65535	64669.55
821.1789	557.987	65535	64666.7
821.3233	560.1276	65535	64669.95
821.4677	562.2675	65535	64669.45
821.6121	564.4069	65535	64670.85
821.7565	566.5456	65535	64669.4
821.9009	568.6837	65535	64671.4
822.0453	570.8212	65535	64669.75
822.1897	572.958	65535	64665.95
822.3342	575.0942	65535	64670.5
822.4786	577.2299	65535	64671.8
822.6231	579.3648	65535	64671.1
822.7675	581.4992	65535	64671
822.912	583.6329	65535	64670.85
823.0565	585.766	65535	64668.9
823.201	587.8985	65535	64669.25
823.3454	590.0304	65535	64647.9
823.4899	592.1616	65535	64661.4
823.6345	594.2922	65535	64665.2
823.779	596.4222	65535	64664.05
823.9235	598.5515	65535	64662.45
824.068	600.6802	65535	64660.45
824.2126	602.8083	65535	64660.35
824.3571	604.9358	65535	64664
824.5017	607.0626	65535	64661.15
824.6462	609.1888	65535	64662.3
824.7908	611.3144	65535	64658.2
824.9354	613.4393	65535	64661.45
825.08	615.5636	65535	64660.4
825.2246	617.6873	65535	64661.15
825.3692	619.8103	65535	64660.4
825.5138	621.9327	65535	64658.2
825.6584	624.0544	65535	64659
825.803	626.1756	65535	64661.9
825.9477	628.2961	65535	64658.6
826.0923	630.4159	65535	64658.35
826.237	632.5351	65535	64659.55
826.3816	634.6537	65535	64656.95
826.5263	636.7716	65535	64655.7
826.6709	638.8889	65535	64654.7
826.8156	641.0056	65535	64656.1
826.9603	643.1216	65535	64653.1
827.105	645.237	65535	64650.5
827.2497	647.3518	65535	64655.3
827.3944	649.4659	65535	64657.2
827.5391	651.5793	65535	64655.05
827.6838	653.6922	65535	64657.4
827.8285	655.8043	65535	64655.5
827.9733	657.9159	65535	64654.7
828.118	660.0268	65535	64655.7
828.2627	662.137	65535	64652.25
828.4075	664.2466	65535	64652.95
828.5522	666.3556	65535	64651.55
828.697	668.4639	65535	64650.1
828.8418	670.5716	65535	64655.2
828.9865	672.6786	65535	64654.25
829.1313	674.785	65535	64651.8
829.2761	676.8907	65535	64650.65
829.4209	678.9958	65535	64652.7
829.5657	681.1002	65535	64650.75
829.7105	683.204	65535	64647.4
829.8553	685.3072	65535	64648.8
830.0001	687.4097	65535	64650.2
830.1449	689.5115	65535	64647.15
830.2898	691.6127	65535	64653.4
830.4346	693.7132	65535	64648.85
830.5794	695.8131	65535	64640.1
830.7243	697.9123	65535	64646.3
830.8691	700.0109	65535	64646.2
831.014	702.1089	65535	64650
831.1588	704.2061	65535	64648.35
831.3037	706.3028	65535	64648.05
831.4486	708.3987	65535	64645.6
831.5935	710.4941	65535	64649
831.7383	712.5887	65535	64645.15
831.8832	714.6827	65535	64645.55
832.0281	716.7761	65535	64647.5
832.173	718.8688	65535	64645.2
832.3179	720.9608	65535	64643.3
832.4628	723.0522	65535	64641.15
832.6077	725.1429	65535	64645.45
832.7527	727.233	65535	64646.9
832.8976	729.3224	65535	64645.55
833.0425	731.4112	65535	64644.55
833.1874	733.4993	65535	64643.15
833.3324	735.5867	65535	64645.3
833.4773	737.6735	65535	64644.55
833.6222	739.7596	65535	64644.15
833.7672	741.845	65535	64642.5
833.9122	743.9298	65535	64639.6
834.0571	746.014	65535	64644.3
834.2021	748.0974	65535	64640.65
834.347	750.1802	65535	64642.75
834.492	752.2624	65535	64641.3
834.637	754.3439	65535	64644.5
834.782	756.4247	65535	64634.5
834.9269	758.5048	65535	64643.75
835.0719	760.5843	65535	64642.65
835.2169	762.6631	65535	64643.85
835.3619	764.7413	65535	64644.3
835.5069	766.8188	65535	64641.25
835.6519	768.8956	65535	64642.4
835.7969	770.9718	65535	64643.5
835.9419	773.0473	65535	64642.7
836.0869	775.1221	65535	64642.2
836.232	777.1962	65535	64643
836.377	779.2697	65535	64638.45
836.522	781.3426	65535	64623.6
836.667	783.4147	65535	64639.75
836.8121	785.4862	65535	64642.8
836.9571	787.557	65535	64638.6
837.1021	789.6271	65535	64641.2
837.2472	791.6966	65535	64640.85
837.3922	793.7654	65535	64638.85
837.5373	795.8335	65535	64641.6
837.6823	797.901	65535	64643.75
837.8274	799.9678	65535	64637.55
837.9724	802.0339	65535	64642.7
838.1175	804.0993	65535	64631.3
838.2626	806.1641	65535	64642.3
838.4076	808.2282	65535	64642.35
838.5527	810.2916	65535	64636.05
838.6978	812.3544	65535	64642.2
838.8428	814.4164	65535	64642.35
838.9879	816.4778	65535	64639.25
839.133	818.5385	65535	64639.1
839.2781	820.5986	65535	64641.1
839.4232	822.658	65535	64639.9
839.5682	824.7166	65535	64641.6
839.7133	826.7747	65535	64640.45
839.8584	828.832	65535	64637.95
840.0035	830.8886	65535	64637.4
840.1486	832.9446	65535	64640.45
840.2937	834.9999	65535	64639.55
840.4388	837.0545	65535	64638.25
840.5839	839.1085	65535	64638.6
840.729	841.1618	65535	64633.6
840.8741	843.2143	65535	64635.7
841.0192	845.2662	65535	64636.75
841.1643	847.3175	65535	64638.5
841.3095	849.368	65535	64637.75
841.4546	851.4179	65535	64639.1
841.5997	853.467	65535	64640.95
841.7448	855.5155	65535	64638.5
841.8899	857.5633	65535	64638.6
842.0351	859.6105	65535	64638.2
842.1802	861.6569	65535	64638.05
842.3253	863.7027	65535	64637
842.4704	865.7478	65535	64637.2
842.6156	867.7922	65535	64633.45
842.7607	869.8359	65535	64635.65
842.9058	871.8789	65535	64636.2
843.0509	873.9212	65535	64606.7
843.1961	875.9629	65535	64638.35
843.3412	878.0039	65535	64634.65
843.4863	880.0441	65535	64636.8
843.6315	882.0837	65535	64635.45
843.7766	884.1226	65535	64637.1
843.9218	886.1609	65535	64637.2
844.0669	888.1984	65535	64636.3
844.212	890.2352	65535	64638.75
844.3572	892.2714	65535	64630.5
844.5023	894.3069	65535	64635.15
844.6475	896.3416	65535	64634.85
844.7926	898.3757	65535	64636.15
844.9377	900.4091	65535	64635.65
845.0829	902.4418	65535	64631.55
845.228	904.4739	65535	64634.7
845.3732	906.5052	65535	64634.2
845.5183	908.5358	65535	64635.85
845.6635	910.5658	65535	64633.05
845.8086	912.595	65535	64636.65
845.9538	914.6236	65535	64636.05
846.0989	916.6515	65535	64635.1
846.2441	918.6786	65535	64635
846.3892	920.7051	65535	64632
846.5344	922.7309	65535	64634.15
846.6795	924.756	65535	64637.25
846.8246	926.7804	65535	64631.5
846.9698	928.8041	65535	64632.15
847.1149	930.8272	65535	64635.2
847.2601	932.8495	65535	64631.95
847.4052	934.8711	65535	64632.5
847.5504	936.892	65535	64633.35
847.6955	938.9123	65535	64634.65
847.8407	940.9318	65535	64637.2
847.9858	942.9506	65535	64634.75
848.131	944.9688	65535	64635.15
848.2761	946.9862	65535	64634.5
848.4213	949.003	65535	64633.85
848.5664	951.019	65535	64631.8
848.7115	953.0344	65535	64632.95
